[2020-12-10T12:22:37.538] Program Started
[2020-12-10T12:22:37.913] Workout Loaded: res\premade\0001.txt
[2020-12-10T12:22:37.942] Workout Loaded: res\premade\0002.txt
[2020-12-10T12:22:37.945] Workout Loaded: res\premade\0003.txt
[2020-12-10T12:22:37.952] Workout Loaded: res\premade\0004.txt
[2020-12-10T12:22:37.958] Workout Loaded: res\premade\0005.txt
[2020-12-10T12:22:37.965] Workout Loaded: res\premade\0006.txt
[2020-12-10T12:22:37.972] Workout Loaded: res\premade\0007.txt
[2020-12-10T12:22:37.976] Workout Loaded: res\premade\0008.txt
[2020-12-10T12:22:37.982] Workout Loaded: res\premade\0009.txt
[2020-12-10T12:22:37.994] Workout Loaded: res\premade\0010.txt
[2020-12-10T12:22:38.003] Workout Loaded: res\premade\0011.txt
[2020-12-10T12:22:38.006] Workout Loaded: res\premade\0012.txt
[2020-12-10T12:22:38.007] Workout Loaded: res\premade\0013.txt
[2020-12-10T12:22:38.013] Workout Loaded: res\premade\0014.txt
[2020-12-10T12:22:38.016] Workout Loaded: res\premade\0015.txt
[2020-12-10T12:22:38.017] Workout Loaded: res\premade\0016.txt
[2020-12-10T12:22:38.020] Workout Loaded: res\premade\0017.txt
[2020-12-10T12:22:38.024] Workout Loaded: res\premade\0018.txt
[2020-12-10T12:22:38.028] Workout Loaded: res\premade\0019.txt
[2020-12-10T12:22:38.029] Workout Loaded: res\premade\0020.txt
[2020-12-10T12:22:38.031] Workout Loaded: res\premade\0021.txt
[2020-12-10T12:22:38.032] Workout Loaded: res\premade\0022.txt
[2020-12-10T12:22:38.034] Workout Loaded: res\premade\0023.txt
[2020-12-10T12:22:38.036] Workout Loaded: res\premade\0024.txt
[2020-12-10T12:22:38.039] Workout Loaded: res\premade\0025.txt
[2020-12-10T12:22:38.042] Workout Loaded: res\premade\0026.txt
[2020-12-10T12:22:38.045] Workout Loaded: res\premade\0027.txt
[2020-12-10T12:22:38.049] Workout Loaded: res\premade\0028.txt
[2020-12-10T12:22:38.053] Workout Loaded: res\premade\0029.txt
[2020-12-10T12:22:38.057] Workout Loaded: res\premade\0030.txt
[2020-12-10T12:22:38.062] Workout Loaded: res\premade\0031.txt
[2020-12-10T12:22:38.065] Workout Loaded: res\premade\0032.txt
[2020-12-10T12:22:38.068] Workout Loaded: res\premade\0033.txt
[2020-12-10T12:22:38.070] Workout Loaded: res\premade\0034.txt
[2020-12-10T12:22:38.074] Workout Loaded: res\premade\0035.txt
[2020-12-10T12:22:38.075] Workout Loaded: res\premade\0036.txt
[2020-12-10T12:22:38.080] Workout Loaded: res\premade\0037.txt
[2020-12-10T12:22:38.090] Workout Loaded: res\premade\0038.txt
[2020-12-10T12:22:38.099] Workout Loaded: res\premade\0039.txt
[2020-12-10T12:22:38.107] Workout Loaded: res\premade\0040.txt
